Row,Barcode,Title,Reason
84,"batang Filipino,Adarna House,2006,,9789715082907,,Adarna House","","Missing Title"
85,"19cm,,","","Missing Title"
88,"Barcelo","","Missing Title"
1434,"Manguerra Brainard,","","Missing Title"
1438,"Rafael,","","Missing Title"
1440,"Gaudencio V. Aquino","","Missing Title"
1441,"B. Aquino,","","Missing Title"
1460,"presidents by Raul C. Reque,","","Missing Title"
1463,"Roberto T. Anonuevo,","","Missing Title"
1466,"Artworks by Jun A. Martinez","","Missing Title"
1467,"Design and Layout by Alexander V. Pascual","","Missing Title"
1468,"Photography by Demtrio,","","Missing Title"
1474,"family reading pleasure","","Missing Title"
1493,"Roseller Santos,","","Missing Title"
1502,"Olavides-Correa Monina","","Missing Title"
1504,"; translated by Hernando","","Missing Title"
1528,"with index,","","Missing Title"
1530,"with index,","","Missing Title"
1532,"with index,","","Missing Title"
1534,"with index,","","Missing Title"
1536,"with index,","","Missing Title"
1538,"with index,","","Missing Title"
1540,"with index,","","Missing Title"
1542,"with index,","","Missing Title"
1558,"with index,","","Missing Title"
1560,"with index,","","Missing Title"
1562,"with index,","","Missing Title"
1564,"with index,","","Missing Title"
1572,"Ritchie","","Missing Title"
1574,"Ritchie","","Missing Title"
1577,"de Gracia","","Missing Title"
1578,"Esgra","","Missing Title"
1593,"Roberto T. Anonuevo,","","Missing Title"
1647,"Flordeliza F. Francisco","","Missing Title"
1648,"Ian June L. Garces","","Missing Title"
1650,"Flordeliza F. Francisco","","Missing Title"
1651,"Ian June L. Garces","","Missing Title"
1655,"Grette A. Mendoza","","Missing Title"
1656,"Rea Gutierrez","","Missing Title"
1657,"John Michael Tan","","Missing Title"
1658,"Salvatore Campo","","Missing Title"
1659,"Contributors/Editors:","","Missing Title"
1660,"Alexander E. Joseph","","Missing Title"
1661,"Caye B. Madrigal,","","Missing Title"
1759,"w/index,","","Missing Title"
1767,"[32] p. of plates","","Missing Title"
1768,": ill. ; 23cm.,,","","Missing Title"
1771,"Photographer: George Tapan","","Missing Title"
1772,"Consultant: Dez Bautista","","Missing Title"
1773,"Book Designer: Eugene Ong,","","Missing Title"
1775,"w/index,","","Missing Title"
1777,"Afterword by: Lourd H. De Veyra,","","Missing Title"
1832,"Flordeliza F. Francisco","","Missing Title"
1833,"Ian June L. Garces","","Missing Title"
1851,"w/index,","","Missing Title"
1855,"Bernadette B. Enriquez,","","Missing Title"
1859,"Foreword by: Kurt Andersen,","","Missing Title"
1890,"Adelissa A. Raymundo","","Missing Title"
1891,"w/bibliography","","Missing Title"
1959,"w/bibliography,","","Missing Title"
1963,"Edito: Virgilio S. Almario,","","Missing Title"
1982,"Isinatipon ni Rosario Cruz Lucero","","Missing Title"
1983,"Isinalin nina Ricardo Oebanda","","Missing Title"
1984,"Rosario Cruz Lucero,","","Missing Title"
2036,"Flordeliza F. Francisco","","Missing Title"
2037,"Ian June L. Garces","","Missing Title"
2039,"Neni Sta. Romana Cruz","","Missing Title"
2040,"Ramon C. Sunico,","","Missing Title"
2042,"Word & Life Publications","","Missing Title"
2043,"Pastoral Bible Foundation","","Missing Title"
2044,"St Pauls,GC,xxxviii","","Missing Title"
2070,"Flordeliza F. Francisco","","Missing Title"
2071,"Ian June L. Garces","","Missing Title"
2074,"Flordeliza F. Francisco","","Missing Title"
2075,"Ian June L. Garces","","Missing Title"
2140,"Expectacion C. Gonzales,","","Missing Title"
2142,"Expectacion C. Gonzales,","","Missing Title"
2146,"Christopher Franz A. Carandang","","Missing Title"
2147,"Rachel Ann Rosales Parr,","","Missing Title"
2158,"Reina Rama","","Missing Title"
2159,"Esmeralda Bunag","","Missing Title"
2160,"Celeste Joy Matias","","Missing Title"
2161,"Ray Alvin Cantos","","Missing Title"
2162,"Agustin Alvarez","","Missing Title"
2168,"Davison","","Missing Title"
2169,"Landau","","Missing Title"
2175,"Hernandez","","Missing Title"
2602,"HS01693","Being comfortable without effort","Duplicate Barcode"
2794,"students at scared heart of jesus catholic school,Valdez","Manila,,RE,text ; 28 cm.,,","Duplicate Barcode"
2871,"SHS00025","English for academic and professional purposes","Duplicate Barcode"
2894,"SHS00049","","Missing Title"
2895,",Programming oracle database,Valdivia","","Missing Title"
2936,"SHS00090","","Missing Title"
2937,",Politics without borders Philippines politics and governance,Mendoza","","Missing Title"
2986,"SHS00139","","Missing Title"
2987,",ABM fundamentals of accountancy","","Missing Title"
2988,"SHS00140","","Missing Title"
2989,",ABM fundamentals of accountancy","","Missing Title"
3111,"SHS00262","","Missing Title"
