Barcode,Call Number,Title,Author,Year,Edition,ISBN,Publication,Publisher,Collection Code,Physical Description,Note Area,Price
GS00001,GC 567.9 Be444 2006,Discovering dinosaurs mighty giants,"Benton, Michael",2006,,1842399012,London,Alligator Books Limited,GC,32p: col.ill.;,w/ index,
GS00002,R 032 D331 2017,My first question and answered book,,2017,,,China,Kelly Miles Publishing Ltd.,R,384p: col. ill.;,w / index,
GS00003,FIC 813.54 K25 1995,The Nancy Drew notebook: the best detective,"Keene, Carolyn",1995,,671879529,New York,Pocket Books,FIC,76p: ill.;,,
GS00004,GC 212 L9400 1984,Our lady of Fatima,"Lovasik, Lawrence",1984,,,New York,Catholic Book Publishing Co.,GC,32p: col. ill.;,,
GS00005,EB 220.9595 B582 2019,Bible story: Noah,,2019,,,Manila,WS Pacific Publication Inc.,EB,col. ill.;,,
GS00006,R 658 2003,100 things you need to know,,2003,,,New York,Scholastic,R,64p: ill.;,,
GS00007,GC 507.8 T561 2003,Experiments with sports,"Tocci, Salvatore",2003,,516227890,Canada,Children's Press,GC,47p: col. ill.; 22cm,w/ indexes,
GS00008,FIC B864 2018,The surprise storm,"Brody, Jessica",2018,,9781789053050,,Autumn Publishing,FIC,93p: col. ill.; 22cm,,
GS00009,FIC 8113.54 O81 1995,Afternoon on the amazon,"Osborne, Mary Pope",1995,,679863729,New York,Random House,FIC,67p: ill.; 20cm,,
GS00010,FIC S7729 2009,Heidi,The tale Heidi,2009,,9789715182881,Manila,Lampara,FIC,124p: col. ill.; 20cm,,
GS00012,GC 2– M— 1986,Simeon and the baby Jesus,"Maxhausen, Evelyn",1986,,,,Concordia Publishing House,,,,
GS00013,GC 220.95 W33 2014,Young learner's bible stories,"Watson, Carol",2014,,9781842399507,London,Alligator Books,GC,48p: col. Ill.; 29cm,,
GS00014,R 551.6 F48 2006,Knowledge masters: weather,"File, Dick",2006,,1842399101,New York,Alligator Books,R,32p: col. Ill.; 29cm,,
GS00015,R 670 L16 2006,Knowledge masters: how things are made,"Lafferty, Peter",2006,,1842399608,New York,Alligator Books,R,32p: col. Ill.; 29cm,,
GS00016,R 609 O98 2006,Knowledge masters: inventions,"Oxlade, Chris",2006,,1842399047,New York,Alligator Books,R,32p: col. Ill.; 29cm,,
GS00017,R 600 O98 2006,Knowledge masters: how things work,"Oxlade, Chris",2006,,1842399616,New York,Alligator Books,R,32p: col. Ill.; 29cm,,
GS00018,R 590 L48 2006,Knowledge masters: monster animals,"Legg, Gerald",2006,,1842399144,New York,Alligator Books,R,32p: col. Ill.; 29cm,,
GS00019,R 567.921 C77 2006,Knowledge masters: dinosaurs,"Cooper, John",2006,,978184239132,New York,Alligator Books,R,32p: col. Ill.; 29cm,,
GS00022,R 423.22 W3877 2006,Webter's new world: children's dictionary,,2006,2nd edition,9780471786887,Canada,Wiley Publishing Inc.,R,928p: col. Ill.; 27cm,,
GS00023,GC 220.95 M46 1975 v.1,The bible story,"Maxwell, Arthur S.",1975,,,Philippines,Philippine Publishing House,GC,col. ill.;26cm,,
GS00024,GC 220.95 M46 1975 v.2,The bible story,"Maxwell, Arthur S.",1975,,,Philippines,Philippine Publishing House,GC,col. ill.;26cm,,
GS00025,GC 220.95 M46 1975 v.3,The bible story,"Maxwell, Arthur S.",1975,,,Philippines,Philippine Publishing House,GC,col. ill.;26cm,,
GS00026,GC 220.95 M46 1975 v.4,The bible story,"Maxwell, Arthur S.",1975,,,Philippines,Philippine Publishing House,GC,col. ill.;26cm,,
GS00027,GC 220.95 M46 1975 v.5,The bible story,"Maxwell, Arthur S.",1975,,,Philippines,Philippine Publishing House,GC,col. ill.;26cm,,
GS00028,GC 220.95 M46 1975 v.6,The bible story,"Maxwell, Arthur S.",1975,,,Philippines,Philippine Publishing House,GC,col. ill.;26cm,,
GS00029,GC 220.95 M46 1975 v.7,The bible story,"Maxwell, Arthur S.",1975,,,Philippines,Philippine Publishing House,GC,col. ill.;26cm,,
GS00030,GC 220.95 M46 1975 v.8,The bible story,"Maxwell, Arthur S.",1975,,,Philippines,Philippine Publishing House,GC,col. ill.;26cm,,
GS00031,GC 220.95 M46 1975 v.9,The bible story,"Maxwell, Arthur S.",1975,,,Philippines,Philippine Publishing House,GC,col. ill.;26cm,,
GS00032,GC 220.95 M46 1975 v.10,The bible story,"Maxwell, Arthur S.",1975,,,Philippines,Philippine Publishing House,GC,col. ill.;26cm,,
GS00033,GC 220.95 M46 1975 v.5,The bible story,"Maxwell, Arthur S.",1975,,,Philippines,Philippine Publishing House,GC,col. ill.;26cm,,
GS00034,GC 220.95 M46 1975 v.7,The bible story,"Maxwell, Arthur S.",1975,,,Philippines,Philippine Publishing House,GC,col. ill.;26cm,,
GS00035,GC 220.9 h95 1994,Kid's bible story book,"Hurlbut, Jesse Lyman",1994,,9789717891736,Canada,"Barbour Publishing, Inc.",GC,363p: ill.; 21cm,,
GS00036,GC 242.62 L89 1981,My Day with Jesus,"Rev. Lawrence G. Lovasik, S.V.D",1981,,,U.S.A,Catholic Book Publishing Co.,GC,32p: col. ill.; 19cm,,
GS00037,R 032.02 E563 2017,Encyclopedia of knowledge,,2017,,9781786173263,China,Kelly Miles Publishing Ltd.,R,384p: col. ill.; 23cm,,
GS00038,FIL 031.02 M23 2011,100 questions Filipino kids ask,,2011,,,,Adarna House,FIC,199p: col. ill.; 32cm,,
GS00039,R 550 E12 1993,The illustrated dictionary of: earth sciences,"Walters, Martin",1993,,9789715083836,,Merlion Publishing Ltd,R,160p: col. ill.; 29cm,,
GS00040,R603 S41 1993,The illustrated dictionary of: science and technology,"Mellett, Peter",1993,,1857370465,,Merlion Publishing Ltd,R,160p: col. ill.; 29cm,,
GS00041,R 612.003 H91 1993,The illustrated dictionary of: the human body,"Sainsbury, Mal",1993,,1857370864,,Merlion Publishing Ltd,R,160p: col. ill.; 29cm,,
GS00042,R 523.111 S73 1992,The illustrated dictionary of: space,"Pollard, Michael",1993,,1857370910,,Merlion Publishing Ltd,R,160p: col. ill.; 29cm,,
GS00043,R 574.5 E19 1993,The illustrated dictionary of: ecology and plant life,"Walters, Martin",1993,,1857370023,,Merlion Publishing Ltd,R,160p: col. ill.; 29cm,,
GS00044,R 500 M74 1993,The illustrated dictionary of: machines,"Pollard, Michael",1993,,1857370961,,Merlion Publishing Ltd,R,160p: col. ill.; 29cm,,
GS00045,R 500 M74 1993,The illustrated dictionary of: money and mathematics,"Nugent, Mike",1993,,1857370074,,Merlion Publishing Ltd,R,160p: col. ill.; 29cm,,
GS00046,R 608 I6 1993,The illustrated dictionary of: inventiors and inventions,"Pollard, Michael",1993,,1857370139,,Merlion Publishing Ltd,R,160p: col. ill.; 29cm,,
GS00047,R 608 I6 1993 c.1,The illustrated dictionary of: inventiors and inventions,"Pollard, Michael",1993,,1857370139,,Merlion Publishing Ltd,R,160p: col. ill.; 29cm,,
GS00048,R 551.46 O15 1993,The illustrated dictionary of: oceanography,"Bailey, Jill",1993,,1857370082,,Merlion Publishing Ltd,R,160p: col. ill.; 29cm,,
GS00049,R 500 m74 1993,The illustrated dictionary of: infomation technology,"Cohn, Zachary",1993,,1857370236,,Merlion Publishing Ltd,R,160p: col. ill.; 29cm,,
GS00050,R 500 m74 1993 c.1,The illustrated dictionary of: infomation technology,"Cohn, Zachary",1993,,1857370236,,Merlion Publishing Ltd,R,160p: col. ill.; 29cm,,
GS00051,R 910.13 N27 2018,Almanac 2019,,2018,,9781426330162,Washington,National Geographic,R,351p: col. ill.; 23cm,,
GS00052,R 031.02 T97 2013,2014 almanac for kids,,2013,,9780545562645,New York,"Scholastic, Inc.",R,352p: col. ill.; 23cm,w/ indexes,
GS00053,R 551.46 O15 2012,Children's cyclopedia: ocean,,2012,,9781603462389,India,Golden Books International Trading Inc.,R,48p: col. ill.; 30cm,,
GS00054,R 930 A54 2012,Junior Illustrated Children Encyclopedia: ancient civilizations,,2012,,9788189911457,India,Golden Books International Trading Inc.,R,48p: col. ill.; 30cm,,
GS00055,R 530.80 R576c 1993,"Clocks, scales & measurements","Robson, Pam",1993,,9781573351512,New York,Shooting Star Press,R,31p: col. ill.;30cm,,
GS00056,R 525 E12 2012,Junior Illustrated Children Encyclopedia: earth and environment,,2012,,9789673780099,India,Golden Books International Trading Inc.,R,48p: col. ill.; 30cm,,
GS00057,R 534.07820 S49s 1992,"Sound, noise & music","Seller, Mick",1992,,9781573351492,New York,Shooting Star Press,R,31p: col. ill.;30cm,,
GS00058,R 535.07820 R576i 1993,"Light, color & lenses","Robson, Pam",1992,,9781573351504,New York,Shooting Star Press,R,31p: col. ill.;30cm,,
GS00059,R 791.43 H24 2012,Junior Illustrated Children Encyclopedia: animal kingdom,,2012,,9789673780080,India,Golden Books International Trading Inc.,R,48p: col. ill.; 30cm,,
GS00060,R 523.1 H24 2012,Junior Illustrated Children Encyclopedia: universe,,2012,,9789673780037,India,Golden Books International Trading Inc.,R,48p: col. ill.; 30cm,,
GS00061,R 910 H24 2012,Junior Illustrated Children Encyclopedia: continents and countries,,2012,,9789673780102,India,Golden Books International Trading Inc.,R,48p: col. ill.; 30cm,,
GS00062,R 537 R63 1993,Electricity,"Robson, Pam",1992,,9781569240090,New York,Shooting Star Press,R,31p: col. ill.; 30cm,,
GS00063,R 580 H24 2012,Junior Illustrated Children Encyclopedia: continents and countries,,2012,,9789673780068,India,Golden Books International Trading Inc.,R,48p: col. ill.; 30cm,,
GS00064,R —2015,Animals: discover the amazing diversity of nature,,2015,,9781472393319,China,Parragon Books Ltd.,R,80p: col. ill.; 28cm,,
GS00065,R 613 H91 2012,Human body,,2012,,978160346235,India,Golden Book International Trading Inc.,R,48p: col.ill.; 29cm,,
GS00066,GC 611 W331 2007,The human body,,2007,English edition,9780709717751,,Broown Watson,GC,29p: col. ill.; 29cm,,
GS00067,R —2015,Dinosaurs: meet the giants of the prehistoric world,,2015,,9781472393326,China,Parragon Books Ltd.,R,77p: col. ill.;28cm,,
GS00068,R —2015,Our world: explore the natural wonders of planet earth,,2015,,9781472393340,China,Parragon Books Ltd.,R,80p: col. ill.; 28cm,,
GS00069,R 551.46 H24 2012,Junior Illustrated Children Encyclopedia: sea world,,2012,,97881899011447,India,Golden Books International Trading Inc.,R,48p: col. ill.; 30cm,,
